id_geography,city,province,country,region,id_country
145,Qala-i-Naw,Badghis,Afghanistan,South Asia,1
146,Qala-i-Naw district,Badghis,Afghanistan,South Asia,1
147,Qaraghal,Badghis,Afghanistan,South Asia,1
148,Qaraghel,Badghis,Afghanistan,South Asia,1
149,Qarchaghay,Badghis,Afghanistan,South Asia,1
150,Qarjaghai,Badghis,Afghanistan,South Asia,1
151,Qarqaj,Badghis,Afghanistan,South Asia,1
152,Rabat,Badghis,Afghanistan,South Asia,1
153,Samad Doz,Badghis,Afghanistan,South Asia,1
154,Sang Atesh,Badghis,Afghanistan,South Asia,1
155,Sanjadak,Badghis,Afghanistan,South Asia,1
156,Sina Ordo,Badghis,Afghanistan,South Asia,1
157,Tagab Rabat,Badghis,Afghanistan,South Asia,1
158,Tagab-e-Ismail,Badghis,Afghanistan,South Asia,1
159,Tangi Qarchaghi,Badghis,Afghanistan,South Asia,1
160,Tas Bulaq,Badghis,Afghanistan,South Asia,1
161,Tash Balaq,Badghis,Afghanistan,South Asia,1
162,Tegab Esmail,Badghis,Afghanistan,South Asia,1
163,Tewar,Badghis,Afghanistan,South Asia,1
164,Unknown,Badghis,Afghanistan,South Asia,1
165,Unknown,Badghis,Afghanistan,South Asia,1
166,Afghan Tepa,Baghlan,Afghanistan,South Asia,1
167,Ahmadzai,Baghlan,Afghanistan,South Asia,1
168,Alawudin-Mangal,Baghlan,Afghanistan,South Asia,1
169,Amer Sher Ali,Baghlan,Afghanistan,South Asia,1
170,Baba Ghalib,Baghlan,Afghanistan,South Asia,1
171,Baba Nazar,Baghlan,Afghanistan,South Asia,1
172,Bagal Mast,Baghlan,Afghanistan,South Asia,1
173,Bagh-e Shamal,Baghlan,Afghanistan,South Asia,1
174,Baghlan,Baghlan,Afghanistan,South Asia,1
175,Baghlan district,Baghlan,Afghanistan,South Asia,1
176,Baghlani Jadid district,Baghlan,Afghanistan,South Asia,1
177,Bala Dowri,Baghlan,Afghanistan,South Asia,1
178,Bala Duri,Baghlan,Afghanistan,South Asia,1
179,Baladori,Baghlan,Afghanistan,South Asia,1
180,Bano district,Baghlan,Afghanistan,South Asia,1
181,Borka,Baghlan,Afghanistan,South Asia,1
182,Burka,Baghlan,Afghanistan,South Asia,1
183,Burka district,Baghlan,Afghanistan,South Asia,1
184,Cement,Baghlan,Afghanistan,South Asia,1
185,Chahar Shanbeh Tepa,Baghlan,Afghanistan,South Asia,1
186,Cham Qala,Baghlan,Afghanistan,South Asia,1
187,Charkhab,Baghlan,Afghanistan,South Asia,1
188,Chashma Sher,Baghlan,Afghanistan,South Asia,1
189,Chashma-e-Sher,Baghlan,Afghanistan,South Asia,1
190,Chehel Kapa,Baghlan,Afghanistan,South Asia,1
191,Chowk-e-Pashtunistan,Baghlan,Afghanistan,South Asia,1
192,Dahana-i-Ghuri,Baghlan,Afghanistan,South Asia,1
193,Dahana-i-Ghuri district,Baghlan,Afghanistan,South Asia,1
194,Dand Shahabuddin,Baghlan,Afghanistan,South Asia,1
195,Dand-e-Ghori,Baghlan,Afghanistan,South Asia,1
196,Dara-e-Walian,Baghlan,Afghanistan,South Asia,1
197,Dasht-e Kelagai,Baghlan,Afghanistan,South Asia,1
198,Dashtak,Baghlan,Afghanistan,South Asia,1
199,Deh Sala district,Baghlan,Afghanistan,South Asia,1
200,Dih Salah district,Baghlan,Afghanistan,South Asia,1
201,Dushi district,Baghlan,Afghanistan,South Asia,1
202,Falol,Baghlan,Afghanistan,South Asia,1
203,Falul,Baghlan,Afghanistan,South Asia,1
204,Gadanha,Baghlan,Afghanistan,South Asia,1
205,Ghorbandi,Baghlan,Afghanistan,South Asia,1
206,Ghulam Bai,Baghlan,Afghanistan,South Asia,1
207,Guzargahi Nur district,Baghlan,Afghanistan,South Asia,1
208,Hafiz Bachah,Baghlan,Afghanistan,South Asia,1
209,Hajda Kotal,Baghlan,Afghanistan,South Asia,1
210,Hasan Tal,Baghlan,Afghanistan,South Asia,1
211,Hasantal,Baghlan,Afghanistan,South Asia,1
212,Hazhdar Kotal,Baghlan,Afghanistan,South Asia,1
213,Hussainkhel,Baghlan,Afghanistan,South Asia,1
214,Jangale Bagh,Baghlan,Afghanistan,South Asia,1
215,Jar Khoshk,Baghlan,Afghanistan,South Asia,1
216,Jelaw Gir,Baghlan,Afghanistan,South Asia,1
217,Joy Naw,Baghlan,Afghanistan,South Asia,1
218,Jungle Bagh,Baghlan,Afghanistan,South Asia,1
219,Kelagay,Baghlan,Afghanistan,South Asia,1
220,Keshabad,Baghlan,Afghanistan,South Asia,1
221,Khalozai,Baghlan,Afghanistan,South Asia,1
222,Khawja Alwan,Baghlan,Afghanistan,South Asia,1
223,Khenjan,Baghlan,Afghanistan,South Asia,1
224,Khinjan,Baghlan,Afghanistan,South Asia,1
225,Khosh Dara,Baghlan,Afghanistan,South Asia,1
226,Khoshkak,Baghlan,Afghanistan,South Asia,1
227,Khost Wa Firing district,Baghlan,Afghanistan,South Asia,1
228,Khowaja Alwan,Baghlan,Afghanistan,South Asia,1
229,Khwaja Alwan,Baghlan,Afghanistan,South Asia,1
230,Khwaja Alwan Dashta,Baghlan,Afghanistan,South Asia,1
231,Khwaja Hijran district,Baghlan,Afghanistan,South Asia,1
232,Khwaja Khan,Baghlan,Afghanistan,South Asia,1
233,Khwaja Zaid,Baghlan,Afghanistan,South Asia,1
234,Khwajah Khan,Baghlan,Afghanistan,South Asia,1
235,Kilagai,Baghlan,Afghanistan,South Asia,1
236,Kilagi,Baghlan,Afghanistan,South Asia,1
237,Kog Chinar,Baghlan,Afghanistan,South Asia,1
238,Kohna,Baghlan,Afghanistan,South Asia,1
239,Kuk Chinar,Baghlan,Afghanistan,South Asia,1
240,Logari,Baghlan,Afghanistan,South Asia,1
241,Mangal,Baghlan,Afghanistan,South Asia,1
242,Markazai Baghlan district,Baghlan,Afghanistan,South Asia,1
243,Moghol,Baghlan,Afghanistan,South Asia,1
244,Nahrin,Baghlan,Afghanistan,South Asia,1
245,Nahrin district,Baghlan,Afghanistan,South Asia,1
246,Nawrozak,Baghlan,Afghanistan,South Asia,1
247,Panj Shiri,Baghlan,Afghanistan,South Asia,1
248,Pul-e-Hashim Khan,Baghlan,Afghanistan,South Asia,1
249,Puli Hisar,Baghlan,Afghanistan,South Asia,1
250,Puli Hisar district,Baghlan,Afghanistan,South Asia,1
251,Puli Khumri,Baghlan,Afghanistan,South Asia,1
252,Puli Khumri district,Baghlan,Afghanistan,South Asia,1
253,Qarghan,Baghlan,Afghanistan,South Asia,1
254,Qaysar Khel,Baghlan,Afghanistan,South Asia,1
255,Salang,Baghlan,Afghanistan,South Asia,1
256,Sang Surakh,Baghlan,Afghanistan,South Asia,1
257,Sangsolakh,Baghlan,Afghanistan,South Asia,1
258,Sayad,Baghlan,Afghanistan,South Asia,1
259,Sayilan,Baghlan,Afghanistan,South Asia,1
260,Shahabuddin,Baghlan,Afghanistan,South Asia,1
261,Shahi Khel,Baghlan,Afghanistan,South Asia,1
262,Shakhri Kokhna,Baghlan,Afghanistan,South Asia,1
263,Shamarq,Baghlan,Afghanistan,South Asia,1
264,Shar-e Now,Baghlan,Afghanistan,South Asia,1
265,Shotor Jangal,Baghlan,Afghanistan,South Asia,1
266,Surkh Kotal,Baghlan,Afghanistan,South Asia,1
267,Tajikano,Baghlan,Afghanistan,South Asia,1
268,Tala Bepak,Baghlan,Afghanistan,South Asia,1
269,Tala Wa Barfak district,Baghlan,Afghanistan,South Asia,1
270,Tangi Murch,Baghlan,Afghanistan,South Asia,1
271,Tara Khel,Baghlan,Afghanistan,South Asia,1
272,Tawah Shakh,Baghlan,Afghanistan,South Asia,1
273,Totakhil,Baghlan,Afghanistan,South Asia,1
274,Tuli,Baghlan,Afghanistan,South Asia,1
275,Tuly,Baghlan,Afghanistan,South Asia,1
276,Unknown,Baghlan,Afghanistan,South Asia,1
277,Unknown,Baghlan,Afghanistan,South Asia,1
278,Wado,Baghlan,Afghanistan,South Asia,1
279,Abdul Rahim,Balkh,Afghanistan,South Asia,1
280,Abwataw,Balkh,Afghanistan,South Asia,1
281,Alam Khel,Balkh,Afghanistan,South Asia,1
282,Alam Khil,Balkh,Afghanistan,South Asia,1
283,Alamkhel,Balkh,Afghanistan,South Asia,1
284,Aliabad,Balkh,Afghanistan,South Asia,1
285,Aq Kakrak,Balkh,Afghanistan,South Asia,1
286,Arabmazari,Balkh,Afghanistan,South Asia,1
287,Asia Khan,Balkh,Afghanistan,South Asia,1
288,Asiab Gorg,Balkh,Afghanistan,South Asia,1
289,Bagh Awraq,Balkh,Afghanistan,South Asia,1
290,Balkh,Balkh,Afghanistan,South Asia,1
291,Balkh district,Balkh,Afghanistan,South Asia,1
292,Balo,Balkh,Afghanistan,South Asia,1
293,Baloch,Balkh,Afghanistan,South Asia,1
294,Barbar Qala,Balkh,Afghanistan,South Asia,1
295,Bargah-e-Turkmentia,Balkh,Afghanistan,South Asia,1
296,Bodana Qala,Balkh,Afghanistan,South Asia,1
297,Buzboi,Balkh,Afghanistan,South Asia,1
298,Chahar Bagh Gulshan,Balkh,Afghanistan,South Asia,1
299,Chahar Bolak,Balkh,Afghanistan,South Asia,1
300,Chahar Bolak district,Balkh,Afghanistan,South Asia,1
301,Chahi,Balkh,Afghanistan,South Asia,1
302,Chamtal district,Balkh,Afghanistan,South Asia,1
303,Chashma-i-Shafa,Balkh,Afghanistan,South Asia,1
304,Chehla Tao Area,Balkh,Afghanistan,South Asia,1
305,Chemtal,Balkh,Afghanistan,South Asia,1
306,Chimtal district,Balkh,Afghanistan,South Asia,1
307,Dahshatan,Balkh,Afghanistan,South Asia,1
308,Dawlatabad,Balkh,Afghanistan,South Asia,1
309,Dawlatabad district,Balkh,Afghanistan,South Asia,1
310,Deh Naw,Balkh,Afghanistan,South Asia,1
311,Dehdadi district,Balkh,Afghanistan,South Asia,1
312,Gortipa,Balkh,Afghanistan,South Asia,1
313,Hairatan,Balkh,Afghanistan,South Asia,1
314,Haji Nadir,Balkh,Afghanistan,South Asia,1
315,Harab-e-Mazari,Balkh,Afghanistan,South Asia,1
316,Hayatah,Balkh,Afghanistan,South Asia,1
317,Hayatan,Balkh,Afghanistan,South Asia,1
318,Hazrat Bai,Balkh,Afghanistan,South Asia,1
319,Jaar Qala,Balkh,Afghanistan,South Asia,1
320,Jar Qala,Balkh,Afghanistan,South Asia,1
321,Jar-e-Khoshk,Balkh,Afghanistan,South Asia,1
322,Jer Qala,Balkh,Afghanistan,South Asia,1
323,Joy Bahs,Balkh,Afghanistan,South Asia,1
324,Kaldar,Balkh,Afghanistan,South Asia,1
325,Kaldar district,Balkh,Afghanistan,South Asia,1
326,Kampirak,Balkh,Afghanistan,South Asia,1
327,Kanguri,Balkh,Afghanistan,South Asia,1
328,Kata Khil,Balkh,Afghanistan,South Asia,1
329,Khairabad,Balkh,Afghanistan,South Asia,1
330,Kham Abad,Balkh,Afghanistan,South Asia,1
331,Khanabad,Balkh,Afghanistan,South Asia,1
332,Khawaja Etoop,Balkh,Afghanistan,South Asia,1
333,Khili Guli,Balkh,Afghanistan,South Asia,1
334,Kholm,Balkh,Afghanistan,South Asia,1
335,Kholm district,Balkh,Afghanistan,South Asia,1
336,Khulm district,Balkh,Afghanistan,South Asia,1
337,Khwaja Sikandar,Balkh,Afghanistan,South Asia,1
338,Khwajah Baran,Balkh,Afghanistan,South Asia,1
339,Kishindih district,Balkh,Afghanistan,South Asia,1
340,Koh-I Kanda,Balkh,Afghanistan,South Asia,1
341,Konjak,Balkh,Afghanistan,South Asia,1
342,Labak,Balkh,Afghanistan,South Asia,1
343,Lalmi,Balkh,Afghanistan,South Asia,1
344,Lashkar Qaq,Balkh,Afghanistan,South Asia,1
345,Madrasa,Balkh,Afghanistan,South Asia,1
346,Maidan Hawai,Balkh,Afghanistan,South Asia,1
347,Margin Tepa,Balkh,Afghanistan,South Asia,1
348,Marmul district,Balkh,Afghanistan,South Asia,1
349,Marsurakh,Balkh,Afghanistan,South Asia,1
350,Mazari Sharif,Balkh,Afghanistan,South Asia,1
351,Mazari Sharif district,Balkh,Afghanistan,South Asia,1
352,Mirzai,Balkh,Afghanistan,South Asia,1
353,Nahr Shahi,Balkh,Afghanistan,South Asia,1
354,Nahri Shahi district,Balkh,Afghanistan,South Asia,1
355,Naw Shahr-e-Baluch,Balkh,Afghanistan,South Asia,1
356,Omaki,Balkh,Afghanistan,South Asia,1
357,Palaspush,Balkh,Afghanistan,South Asia,1
358,Pay Mashhad,Balkh,Afghanistan,South Asia,1
359,Qadim,Balkh,Afghanistan,South Asia,1
360,Qoch Qazal,Balkh,Afghanistan,South Asia,1
361,Sabzi Karha,Balkh,Afghanistan,South Asia,1
362,Saika,Balkh,Afghanistan,South Asia,1
363,Salarzai,Balkh,Afghanistan,South Asia,1
364,Sarmang,Balkh,Afghanistan,South Asia,1
365,Sayed Abad,Balkh,Afghanistan,South Asia,1
366,Shahab Arabi,Balkh,Afghanistan,South Asia,1
367,Shaikhah,Balkh,Afghanistan,South Asia,1
368,Shash Paikal,Balkh,Afghanistan,South Asia,1
369,Sholgara,Balkh,Afghanistan,South Asia,1
370,Sholgara district,Balkh,Afghanistan,South Asia,1
371,Shor Bolaq,Balkh,Afghanistan,South Asia,1
372,Shor Tepa,Balkh,Afghanistan,South Asia,1
373,Shor Tepa district,Balkh,Afghanistan,South Asia,1
374,Siah Aab,Balkh,Afghanistan,South Asia,1
375,Siyah Aw,Balkh,Afghanistan,South Asia,1
376,Sorkh Gonbad,Balkh,Afghanistan,South Asia,1
377,Suryan,Balkh,Afghanistan,South Asia,1
378,Tajkirgan,Balkh,Afghanistan,South Asia,1
379,Temorak,Balkh,Afghanistan,South Asia,1
380,Timorak,Balkh,Afghanistan,South Asia,1
381,Timurak,Balkh,Afghanistan,South Asia,1
382,Toqi,Balkh,Afghanistan,South Asia,1
383,Unknown,Balkh,Afghanistan,South Asia,1
384,Unknown,Balkh,Afghanistan,South Asia,1
385,Urozgani,Balkh,Afghanistan,South Asia,1
386,Yangi Qala,Balkh,Afghanistan,South Asia,1
387,Zari district,Balkh,Afghanistan,South Asia,1
388,Zekzayak,Balkh,Afghanistan,South Asia,1
389,Bamyan district,Bamyan,Afghanistan,South Asia,1
390,Band-e Amir,Bamyan,Afghanistan,South Asia,1
391,Do Abi,Bamyan,Afghanistan,South Asia,1
392,Ghandak,Bamyan,Afghanistan,South Asia,1
393,Ghoramch,Bamyan,Afghanistan,South Asia,1
394,Kahmard district,Bamyan,Afghanistan,South Asia,1
395,Kajran district,Bamyan,Afghanistan,South Asia,1
396,Panjab district,Bamyan,Afghanistan,South Asia,1
397,Sangpar,Bamyan,Afghanistan,South Asia,1
398,Sargalay,Bamyan,Afghanistan,South Asia,1
399,Shibar,Bamyan,Afghanistan,South Asia,1
400,Shibar district,Bamyan,Afghanistan,South Asia,1
401,Shikari,Bamyan,Afghanistan,South Asia,1
402,Unknown,Bamyan,Afghanistan,South Asia,1
403,Yakawlang,Bamyan,Afghanistan,South Asia,1
404,Yakawlang district,Bamyan,Afghanistan,South Asia,1
405,Ashtrak,Daykundi,Afghanistan,South Asia,1
406,Band-e Zeyarat,Daykundi,Afghanistan,South Asia,1
407,Bazar Moshtarak,Daykundi,Afghanistan,South Asia,1
408,Duazada Imam,Daykundi,Afghanistan,South Asia,1
409,Gizab,Daykundi,Afghanistan,South Asia,1
410,Gizab district,Daykundi,Afghanistan,South Asia,1
411,Kajran district,Daykundi,Afghanistan,South Asia,1
412,Karizak,Daykundi,Afghanistan,South Asia,1
413,Kirjan,Daykundi,Afghanistan,South Asia,1
414,Kohi Sey Sang,Daykundi,Afghanistan,South Asia,1
415,Munara,Daykundi,Afghanistan,South Asia,1
416,Nawa Maish,Daykundi,Afghanistan,South Asia,1
417,Nili,Daykundi,Afghanistan,South Asia,1
418,Padahgak,Daykundi,Afghanistan,South Asia,1
419,Padgak,Daykundi,Afghanistan,South Asia,1
420,Sang-e Haidar Biag,Daykundi,Afghanistan,South Asia,1
421,Sarma Sang,Daykundi,Afghanistan,South Asia,1
422,Siah Sang,Daykundi,Afghanistan,South Asia,1
423,Sof,Daykundi,Afghanistan,South Asia,1
424,Tangasuf,Daykundi,Afghanistan,South Asia,1
425,Tangha Souf,Daykundi,Afghanistan,South Asia,1
426,Tangi Kajran,Daykundi,Afghanistan,South Asia,1
427,Unknown,Daykundi,Afghanistan,South Asia,1
428,Unknown,Daykundi,Afghanistan,South Asia,1
429,Aab-i-Khorma,Farah,Afghanistan,South Asia,1
430,Ab Khorma,Farah,Afghanistan,South Asia,1
431,Ab Khurma,Farah,Afghanistan,South Asia,1
432,Aliabad,Farah,Afghanistan,South Asia,1
433,Alyasabad,Farah,Afghanistan,South Asia,1
434,Anar Dara,Farah,Afghanistan,South Asia,1
435,Anar Dara district,Farah,Afghanistan,South Asia,1
436,Bagh Kafi,Farah,Afghanistan,South Asia,1
437,Bakhsh Abad,Farah,Afghanistan,South Asia,1
438,Bakwa,Farah,Afghanistan,South Asia,1
439,Bakwa district,Farah,Afghanistan,South Asia,1
440,Bala Baluk district,Farah,Afghanistan,South Asia,1
441,Bala Buluk,Farah,Afghanistan,South Asia,1
442,Bala Buluk district,Farah,Afghanistan,South Asia,1
443,Barangak,Farah,Afghanistan,South Asia,1
444,Barfishar,Farah,Afghanistan,South Asia,1
445,Belandi,Farah,Afghanistan,South Asia,1
446,Boji Bast,Farah,Afghanistan,South Asia,1
447,Bolandi,Farah,Afghanistan,South Asia,1
448,Chahar Dara,Farah,Afghanistan,South Asia,1
449,Chakab,Farah,Afghanistan,South Asia,1
450,Chapak,Farah,Afghanistan,South Asia,1
451,Chaplati,Farah,Afghanistan,South Asia,1
452,Charmas,Farah,Afghanistan,South Asia,1
453,Check-u-Mars,Farah,Afghanistan,South Asia,1
454,Chuck,Farah,Afghanistan,South Asia,1
455,Dahak,Farah,Afghanistan,South Asia,1
456,Dahana Jawal,Farah,Afghanistan,South Asia,1
457,Daristan,Farah,Afghanistan,South Asia,1
458,Daulat Abad,Farah,Afghanistan,South Asia,1
459,Deh Yak,Farah,Afghanistan,South Asia,1
460,Dehak,Farah,Afghanistan,South Asia,1
461,Dehzak,Farah,Afghanistan,South Asia,1
462,Dezak,Farah,Afghanistan,South Asia,1
463,Dorahi,Farah,Afghanistan,South Asia,1
464,Dorja,Farah,Afghanistan,South Asia,1
465,Dozak,Farah,Afghanistan,South Asia,1
466,Du Qalah,Farah,Afghanistan,South Asia,1
467,Dukin,Farah,Afghanistan,South Asia,1
468,Durabad,Farah,Afghanistan,South Asia,1
469,Faizabad,Farah,Afghanistan,South Asia,1
470,Farah,Farah,Afghanistan,South Asia,1
471,Farah district,Farah,Afghanistan,South Asia,1
472,Farah Rud,Farah,Afghanistan,South Asia,1
473,Gajgeen,Farah,Afghanistan,South Asia,1
474,Gajgin,Farah,Afghanistan,South Asia,1
475,Ganj Abad,Farah,Afghanistan,South Asia,1
476,Ganjabad,Farah,Afghanistan,South Asia,1
477,Gerani,Farah,Afghanistan,South Asia,1
478,Gest,Farah,Afghanistan,South Asia,1
479,Ghaziabad,Farah,Afghanistan,South Asia,1
480,Ghorchi,Farah,Afghanistan,South Asia,1
481,Ghorghori,Farah,Afghanistan,South Asia,1
482,Gnhkan,Farah,Afghanistan,South Asia,1
483,Gosha,Farah,Afghanistan,South Asia,1
484,Gulistan district,Farah,Afghanistan,South Asia,1
485,Gunjabad,Farah,Afghanistan,South Asia,1
