id_country,Year,Score
35,2018,5.108
35,2019,4.465
35,2020,3.587
36,2010,6.009
36,2011,5.948
36,2012,6.055
36,2013,6.077
36,2014,6.24
36,2015,6.662
36,2016,5.954
36,2017,5.595
36,2018,5.611
36,2019,5.912
36,2020,6.1
38,2010,0
38,2011,0
38,2012,0
38,2013,0
38,2014,0
38,2015,0
38,2016,0
38,2017,0
38,2018,0
38,2019,0
38,2020,1.066
39,2010,0.32
39,2011,0.153
39,2012,0
39,2013,0.038
39,2014,0.23
39,2015,0.115
39,2016,0.058
39,2017,0.029
39,2018,0.014
39,2019,0
39,2020,0
40,2010,0
40,2011,0
40,2012,0
40,2013,0
40,2014,0
40,2015,0
40,2016,0
40,2017,0
40,2018,0
40,2019,0
40,2020,0
41,2010,0.191
41,2011,0.095
41,2012,0.049
41,2013,0.153
41,2014,2.3
41,2015,3.08
41,2016,2.04
41,2017,1.894
41,2018,1.206
41,2019,0.42
41,2020,0.115
42,2010,1.463
42,2011,0.775
42,2012,0.522
42,2013,0.248
42,2014,0.81
42,2015,2.484
42,2016,2.179
42,2017,1.889
42,2018,1.562
42,2019,0.866
42,2020,0.315
44,2010,7.08
44,2011,6.612
44,2012,6.182
44,2013,5.862
44,2014,5.9
44,2015,6.487
44,2016,6.633
44,2017,6.967
44,2018,7.055
44,2019,7.039
44,2020,7.178
45,2010,0.153
45,2011,0.305
45,2012,1.129
45,2013,0.076
45,2014,0.19
45,2015,0.091
45,2016,2.152
45,2017,1.512
45,2018,0.817
45,2019,0.957
45,2020,1.484
46,2010,0
46,2011,0
46,2012,0
46,2013,0
46,2014,0
46,2015,2.567
46,2016,1.78
46,2017,1.119
46,2018,0.705
46,2019,0.32
46,2020,0.038
48,2010,0
48,2011,0
48,2012,0
48,2013,0
48,2014,0.47
48,2015,2.581
48,2016,1.562
48,2017,0.892
48,2018,0.382
48,2019,0.177
48,2020,0
50,2010,0.901
50,2011,0.382
50,2013,0.072
50,2014,0
50,2015,0
50,2016,0
50,2017,0
50,2018,0
50,2019,0
50,2020,0
51,2010,0.831
51,2011,0.363
51,2012,0.679
51,2013,0.472
51,2014,1.18
51,2015,0.577
51,2016,0.793
51,2017,1.616
51,2018,1.471
51,2019,2.455
51,2020,2.606
52,2010,3.211
52,2011,2.39
52,2012,4.576
52,2013,4.601
52,2014,6.5
52,2015,6.813
52,2016,7.328
52,2017,7.17
52,2018,7.345
52,2019,6.794
52,2020,6.419
53,2010,0
53,2011,0
53,2012,0
53,2013,0
53,2014,0
53,2015,0
53,2016,0
53,2017,0
53,2018,0
53,2019,0
53,2020,0
54,2010,0.999
54,2011,0.42
54,2012,0.217
54,2013,0.105
54,2014,0.01
54,2015,0
54,2016,0
54,2017,0
54,2018,0
54,2019,0
54,2020,0
55,2010,2.309
55,2011,3.471
55,2012,3.917
55,2013,3.017
55,2014,2.45
55,2015,1.636
55,2016,0.534
55,2017,0
55,2018,0
55,2019,0
55,2020,0
56,2010,0
56,2011,0
56,2012,0.158
56,2013,0.305
56,2014,0.16
56,2015,0.076
56,2016,1.103
56,2017,0.461
56,2018,0.229
56,2019,0.115
56,2020,0.057
57,2010,4.422
57,2011,4.045
57,2012,3.732
57,2013,3.868
57,2014,3.7
57,2015,3.544
57,2016,3.454
57,2017,5.939
57,2018,5.631
57,2019,5.345
57,2020,5.307
60,2010,0.267
60,2011,0.134
60,2012,0.069
60,2013,0.033
60,2014,0
60,2015,0
60,2016,2.377
60,2017,2.341
60,2018,2.501
60,2019,2.026
60,2020,1.721
61,2010,3.186
61,2011,2.609
61,2012,1.731
61,2013,4.015
61,2014,2.67
61,2015,4.553
61,2016,5.603
61,2017,5.964
61,2018,5.475
61,2019,5.008
61,2020,4.614
64,2010,0
64,2011,0
64,2012,0
64,2013,0
64,2014,0
64,2015,0
64,2016,0
64,2017,0
64,2018,1.198
64,2019,0.551
64,2020,1.43
65,2010,0
65,2011,0
65,2012,0
65,2013,0
65,2014,0
65,2015,0
65,2016,0
65,2017,0
65,2018,0
65,2019,0
65,2020,0
66,2010,4.102
66,2011,3.749
66,2012,3.428
66,2013,2.829
66,2014,2.58
66,2015,2.373
66,2016,1.257
66,2017,2.114
66,2018,1.422
66,2019,1.335
66,2020,0.635
67,2010,1.847
67,2011,1.273
67,2012,1.743
67,2013,1.871
67,2014,1.02
67,2015,3.442
67,2016,4.308
67,2017,4.917
67,2018,4.601
67,2019,4.254
67,2020,3.965
68,2010,0
68,2011,0
68,2012,0
68,2013,0
68,2014,0
68,2015,1.381
68,2016,0.346
68,2017,0.326
68,2018,0.162
68,2019,1.559
68,2020,1.743
69,2010,5.019
69,2011,4.761
69,2012,4.597
69,2013,4.078
69,2014,4.73
69,2015,4.976
69,2016,4.218
69,2017,4.139
69,2018,4.291
69,2019,4.167
69,2020,4.182
72,2010,0.363
72,2011,0.181
72,2012,0
72,2013,1.517
72,2014,2.61
72,2015,2.009
72,2016,1.144
72,2017,0.506
72,2018,0.205
72,2019,1.331
72,2020,0.663
73,2010,0
73,2011,0
73,2012,0
73,2013,0
73,2014,1.12
73,2015,1.187
73,2016,1.403
73,2017,0.723
73,2018,0.324
73,2019,0.971
73,2020,0.41
74,2010,1.638
74,2011,0.803
74,2012,0.158
74,2013,0.775
74,2014,0.35
74,2015,0.153
74,2016,0.077
74,2017,0.038
74,2018,0
74,2019,0
74,2020,0
75,2010,2.285
75,2011,1.625
75,2012,0.976
75,2013,0.406
75,2014,0
75,2015,0
75,2016,0
75,2017,0.154
75,2018,0.076
75,2019,0.038
75,2020,0.477
76,2010,0.286
76,2011,0.143
76,2012,0.074
76,2013,0
76,2014,0
76,2015,0
76,2016,0
76,2017,2.4
76,2018,1.714
76,2019,2.18
76,2020,2.355
77,2010,2.504
77,2011,1.812
77,2012,1.225
77,2013,1.306
77,2014,2.38
77,2015,2.077
77,2016,1.144
77,2017,1.562
77,2018,1.714
77,2019,0.992
77,2020,2.023
79,2010,1.463
79,2011,0.775
