id_attacker_group,attacker_group
905,Communist Fighting Corunim- Maria Anna Maria
906,Communist Fighting Detachments
907,Communist Fighting Front
908,Communist Fighting Nuclei
909,Communist Fighting Unit
910,Communist Front for Counterpower
911,Communist Group of Proletarian Internationalism
912,Communist Guerilla Nuclei
913,Communist Hunters Command (CCC)
914,Communist Nuclear
915,Communist Nuclei of Counter Power
916,Communist Party of India
917,Communist Party of India - Maoist (CPI-Maoist)
918,Communist Party of India- Marxist
919,Communist Party of India- Marxist-Leninist
920,Communist Party of Malaysia- Marxist-Leninist
921,Communist Party of Nepal - Maoist (CPN-Maoist-Chand)
922,Communist Party of Nepal (People's War Group)
923,Communist Party of Nepal- Maoist (CPN-M)
924,Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)
925,Communist Party of Nepal-Maoist (Baidya)
926,Communist Party of Thailand
927,Communist Patrols for Counter Power
928,Communist Progress
929,Communist Territorial Nuclei
930,Communist Territorial Unit
931,Communist Trade Union Workers
932,Communist Warrior's Union
933,Communists
934,Communists Fighting Imperialism and Armaments
935,Complices Sediciosos/Fraccion por la Venganza
936,Comrades in Arms
937,Comrades Organized in Partisan Nuclei
938,Comuneros
939,Concerned citizens
940,Concerned Militant Leaders (CML)
941,Condor
942,Condor Plan Criminals
943,Confederation of Iranian Students/National Union (CISNU)
944,Congolese Armed Patriotic Group
945,Congolese Democratic Coalition
946,Congolese Liberation Party (PLC)
947,Congolese National Movement- Lumumba (MNCL)
948,Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)
949,Congolese Rally for Democracy (RCD)
950,Congress of Kabardian People
951,Congress Party Activists
952,Conqueror Army
953,Conscientious Arsonists (CA)
954,Conspiracy of Cells of Fire
955,Conspiracy of Vengeful Arsonists
956,Conspiracy theory extremists
957,Continental Revolutionary Army
958,Continuing Struggle
959,Continuity Irish Republican Army (CIRA)
960,Continuous Struggle
961,Contras
962,Convention of Liberal Reformers (CLR)
963,Convention of Patriots for Justice and Peace
964,Cooperative for the Development of the Congo (CODECO) militia
965,Coordination Committee (CORCOM)
966,Coordination for Revolutionary Action (CAR)
967,Coordination of Anti-atomic Power Plant Saboteurs
968,Coordination of Azawad Movements (CMA)
969,Coordination of the United Revolutionary Organization (CORU)
970,Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)
971,Corsican Farmers' Front
972,Corsican National Liberation Front (FLNC)
973,Corsican National Liberation Front- Historic Channel
974,Corsican Nationalists
975,Corsican Revolutionary Brigade
976,Corsican Separatists
977,Cossack Separatists
978,Costa Rican Peoples' Army (EPC)
979,Council for Justice in Azawad
980,Council for Popular Justice
981,Council for the Destruction of Order
982,Counter-revolutionaries
983,Counterrevolutionary Solidarity (SC)
984,Coup plotters
985,Court Reform extremists
986,"Covenant, Sword and the Arm of the Lord (CSA)"
987,Crazy Brabant Killers
988,Croat Democratic Union
989,Croatian Freedom Fighters
990,Croatian Liberation Army
991,Croatian Militia
992,Croatian Nationalists
993,Croatian Revolutionary Cell-Bruno Busic Dept
994,Croatians
995,Crypteia
996,CSS Movement
997,Cuban Action
998,Cuban C-4 Movement
999,Cuban Exiles
1000,Cuban extremists
1001,Cuban Secret Army
1002,Cubans seeking escape from Cuba
1003,Cuncolta Naziunalista
1004,Cypriot
1005,Cyprus Turkish People's Movement
1006,Cyrenaica Self-Defense Force
1007,Dacoits
1008,Dagestani Shari'ah Jamaat
1009,Dainihon Yokuko Doshikai
1010,Dan Na Ambassagou
1011,Danish Neo-Nazi Group
1012,Dark Harvest
1013,Dashmesh Regiment
1014,David Yau Yau Militia
1015,David's Sword
1016,Dawn Forces
1017,Dayak gang
1018,Death Squad
1019,Death Squad (Iraq)
1020,Death Squad of Organization Zero (Organizacion Cero)
1021,Death to Bazuqueros
1022,Death to Drug Traffickers
1023,Death to Kidnappers (MAS)
1024,Death to Rustlers
1025,Death to the Demobilized Militias
1026,Deccan Mujahideen
1027,December 13 Independent Group
1028,Defenders of the Fatherland
1029,Defenders of the Nation's Sovereignty
1030,Delta Democratic Militia
1031,Delta Group
1032,Democratic Front for Renewal (FDR)
1033,Democratic Front for the Liberation of Palestine (DFLP)
1034,Democratic Front for the Liberation of Rwanda (FDLR)
1035,Democratic Front of the Central African People (FDPC)
1036,Democratic Iraqi Opposition of Germany
1037,Democratic Karen Buddhist Army (DKBA)
1038,Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)
1039,Democratic Party
1040,Democratic Progressive Party
1041,Democratic Progressive Party (Malawi)
1042,Democratic Revolutionary Alliance (ARDE)
1043,Democratic Revolutionary Front (FDR)
1044,Democratic Revolutionary Party
1045,Democratic Youth Federation of India (DYFI)
1046,Demonstration led by French Anti-Nazi Hunters
1047,Demonstrators
1048,Deniers of Holidays
1049,Depositers angered
1050,Derna Protection Force (DPF)
1051,Detonators of Social Uprisings
1052,Dev Genc
1053,Dev Sol
1054,Dev Yol
1055,Devrimici Halk Kurtulus Cephesi (DHKP/C)
1056,Didier Ratsiraka's Militia
1057,Dignity Command
1058,Dignity for Colombia
1059,Dima Halao Daoga (DHD)
1060,Dima Hasao National Army
1061,Dimasa National Liberation Army (DNLA)
1062,Dioulas tribal group
1063,Diraa al-Shahbaa Rebel Brigade
1064,Direct Action Against Drugs (DADD)
1065,Disgruntled Petroecuador workers
1066,Dishmish Regiment
1067,Dissident
1068,Dissident Military Mmbrs of Northern Tribal Group
1069,Dissident Republican Guard
1070,Dissident Republicans
1071,Dissidents linked to Zanga
1072,Diyala Salvation Council
1073,Dnester region guerrilas
1074,Dnestr Rebels
1075,Dnestr Republic Separatists
1076,Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems
1077,Dogon extremists
1078,Dominican Popular Movement (MPD)
1079,Donetsk People's Republic
1080,Donskoy Army
1081,Down with Lubbers
1082,Dozo militia
1083,Draa El Mizan Seriat
1084,Dravidar Kazhagam
1085,Dravidar Viduthalai Kazhagam (DVK)
1086,Drug-Related Terrorists
1087,Druzes
1088,Dukhta-ran-e-Millat
1089,Durruti Brigades
1090,Dynamic Youth Forum
1091,E. Timorese Youths
1092,Eagles of the Palestinian Revolution
1093,Earth First!
1094,Earth Liberation Front (ELF)
1095,Earth Night Action Group
1096,East Asia Anti Japanese Armed Front
1097,East Asia Division of the Islamic State
1098,East Side Action Committee
1099,East Timorese extremists
1100,East Turkistan Liberation Organization
1101,Eastern Turkistan Islamic Movement (ETIM)
1102,Ecology and Antinuclear Revolutionary Party (CRAE)
1103,Economic Freedom Fighters
1104,Ecosocialist Forces
1105,Ecuadorian Communist Youth
1106,Ed'daoua Es'salafia Lilqadha
1107,Eelam People's Revolutionary Liberation Front (EPRLF)
1108,Effiat ethnic roup or Jbibio Peoples
1109,Egbema National Front
1110,Egbesu Youths of the Bayelsa
1111,Egypt's Revolution
1112,Egyptian Islamic Jihad (Al-Jihad)
1113,Egyptian Revolutionary Organization
1114,Egyptian Tawhid and Jihad
1115,Egyptians
1116,Ein Tyrol (One Tyrol)
1117,Ejercito de Liberacion Nacional (Bolivia)
1118,Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
1119,Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)
1120,El Mico Rebel Gray
1121,El Movimiento Revolucionario Independinista
1122,El-Feth katibat
1123,Elements Police Cobra Squadron
1124,Elos security firm
1125,Emilio Recabarren Commando
1126,English Defense League (EDL)
1127,Enraged Revolutionaries
1128,Environmental Life Force
1129,Environmentalists
1130,Enyele Militia
1131,Epanastatiki Anatropi (Revolutionary Overthrow)
1132,Equilibrio Nacional
1133,Eritrean Liberation Front
1134,Eritrean Peoples Liberation Front
1135,Eritrean Salvation Front (ESF)
1136,Erotic Anti-authority Cells
1137,Ethiopian Dongiro tribesmen
1138,Ethiopian People's Revolutionary Party
1139,Ethiopians
1140,Ethnic Russian Separatists
1141,Etnocacerista Movement
1142,Eva Peron Organization
1143,Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)
1144,Evangelical Christians
1145,Ex-Somoza National Guard
1146,Execution Squad (Egypt)
1147,Extortionists
1148,Extraparliamentary Opposition (APO)
1149,Extreme Left
1150,Extreme Right Commando Brigade
1151,Extreme Right-wing Socialist Phalange
1152,Extremist Nat'list Group
1153,Extremists
1154,FACDM
1155,Face to Face (Face-a-Face)
1156,Faithful Resistance
1157,Fajr al-Umma Brigade
1158,Falanga
1159,Falange
1160,Falangist Security Group
1161,Falangist Vanguard
1162,Fanatical Ecologists
1163,Fanmi Lavalas
1164,Faqra Tribal Group
1165,Farabundo Marti National Liberation Front (FMLN)
1166,Farighan
1167,Farm Animal Revenge Militia (FARM)
1168,Farmer's Movement of the Philippines (KMP)
1169,Farmers
1170,Fatah al-Islam
1171,Fatah Hawks
1172,Fatah Uprising
1173,Father of the Poor
1174,Fatherland
1175,Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)
1176,Fatoni Warriors
1177,February 14th Movement
1178,February 17 Martyrs Brigade
1179,February 27 Revolutionary Armed Forces
1180,February 28 Popular League (El Salvador)
1181,Fedayeen
1182,Fedayeen Imam Mahdi
1183,Fedayeen Khalq (People's Commandos)
1184,Fedayeen of the Imperial Iranian Monarchy
1185,Federation of Students and Scholars of Cote d'Ivoire (FESCI)
1186,Feliciano Argueta Front
1187,Feminist extremists
1188,Feuerkrieg Division (FKD)
1189,Fezzan Province of the Islamic State
1190,Fight Against Authority
1191,Fight Xenophobia
1192,Fighters for Communism
1193,Fighters for the Liberation of the Turkish People
1194,Fighters of Democratic Latvia
1195,Fighters of the People
1196,Fighting Communist Front
1197,Fighting Communist Unit
1198,Fighting Communists
1199,Fighting Ecologist Movement
1200,Fighting For Freedom Coalition (FFFC-Ottawa)
1201,Fighting Guerrilla Formation
1202,Fighting Nucleus for Communism
1203,Fighting Popular Rally
1204,Fighting Proletarian Front
1205,Fighting Proletarian Squads
1206,Fighting Women
1207,Fighting Workers for Communism
1208,Filipino Communists
1209,Filipino Soldiers for the Country
1210,Fire and Flame for the Police (FFdP)
1211,Fire Group
1212,First Capital Command (PCC)
1213,First May Movement
1214,First of October Antifascist Resistance Group (GRAPO)
1215,Flying Eagles (Vigilante Group)
1216,Foibe tribe
1217,Forbid the Evil Group (Muslim Extremists)
1218,Forbidden Blockade (Greece)
1219,Force 17
1220,Force Etudiante Critique
1221,Forces for the Defense of Democracy (FDD)
1222,Forces for the Unification of the Central African Republic (FIRCA)
1223,Forces of the Free Arab
1224,Forces of the Struggling Ranks
1225,Forest Brothers
1226,Former Border Policeman
1227,Former Govt. Troops
1228,Former Interior Ministry Officers
1229,Former members Central Investigation Office
1230,Former Muslim Guerrillas
1231,Former Soldiers/Police
1232,Former Student Hostel
1233,Forqan Group
1234,Forum for the Restoration of Democracy-Kenya
1235,Four Martyrs Brigade
1236,Fourth Reich Skinheads
1237,France's Honour
1238,Francia
1239,Francisco Villa People's Front
1240,Fred Hampton Unit of the People's Forces
1241,Free Aceh Movement (GAM)
1242,Free Alawite Movement
1243,Free All Political Prisoners in Holland
1244,Free and Democratic Society of Eastern Kurdistan (KODAR)
1245,Free Balochistan Army (FBA)
1246,Free Democratic People's Government of Laos
1247,Free Fatherland
1248,Free Fatherland Youth Guerrilla Army
1249,Free Galician People's Guerrilla Army
1250,Free Joseon
1251,Free Lebanon
1252,Free Libya Martyrs Brigade
1253,Free Nasserite Revolutionaries
1254,Free Network South (Freies Netz Sued)
1255,Free Papua Movement (OPM-Organisasi Papua Merdeka)
1256,Free Revolutionaries Movement-The Giants
1257,Free Syrian Army
1258,Free Vietnam Movement
1259,Freedom Eagles of Africa
1260,Freedom Party
1261,Freital Group
1262,French Armed Islamic Front
1263,French Basque Nationalists
1264,French Liberation Front
1265,French National
1266,Friendly Company
1267,Friends of Freedom
1268,Friends of Loukanikos
1269,Front de Liberation du Quebec (FLQ)
1270,Front for Armenian Liberation
1271,Front for Peace and Reconciliation (FRP)
1272,Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)
1273,Front for the Liberation of Lebanon from Foreigners
1274,Front For the Liberation of the Azores
1275,Front for the Liberation of the Enclave of Cabinda (FLEC)
1276,Front for the Liberation of the French Somali Coast
1277,Front for the National Liberation of Puerto Rico
1278,Front for the Restoration of Unity and Democracy
1279,Front Line Armed Nuclei (FLAN)
1280,Front of French National Liberation
1281,Front of Resistance and National Liberation of Albanians
1282,Fronte Paesanu Corsu di Liberazione (FPCL)
1283,Fuerza Nueva
1284,Fuerzas Armadas de Liberacion Nacional (FALN)
1285,Fuerzas Armadas Revolucionarias del Pueblo (FARP)
1286,Fuerzas Autonómicas y Destructivas León Czolgoscz
1287,Fuerzas Populares Jose Leonardo Chirinos
1288,Fulani extremists
1289,Fundamentalists
1290,Furious Rebellion
1291,Future movement (Lebanon)
1292,GAC
1293,Gaitanista Self-Defense Forces of Colombia (AGC)
1294,Ganda Koi
1295,Gang
1296,Gang separatists terrorists
1297,Gangs of Conscience
1298,Garo National Liberation Army
1299,Gathering to Aid the Oppressed
1300,Gay Liberation Front
1301,Gazteriak
1302,Gbagbo Loyalists
1303,Generation of Arab Fury
1304,George Jackson Brigade
1305,Georgian extremists
1306,Georgian guerrillas
1307,Georgian Militants
1308,Georgian Sabotage Group
1309,German Resistance Movement
1310,German Speaking Separatists
1311,Ghniwah Militia
1312,Gholam Yahya Akbar
1313,Gilad Shalhevet Brigades
1314,Global Intifada
1315,GN-95
1316,God our Father Cult
1317,God's Army
1318,God's Oppressed Army
1319,Golden Dawn
1320,Gono Bahini (GB)
1321,Good Vision Party (India)
1322,Gorkha Janmukti Morcha (GJM)
1323,Gorkha Liberation Army (GLA)
1324,Government Supporters
1325,GP II
1326,Gracchus Babeuf
1327,Great Eastern Islamic Raiders Front (IBDA-C)
1328,Great Japan Patriotic Party
1329,Greater Damascus Operations Room
1330,Greek Anarchists' Union
1331,Greek Anti-Dictatorial Youth (EAN)
1332,Greek Bulgarian Armenian Front
1333,Greek National Socialist Organization
1334,Greek Popular Resistance
1335,Grey Wolves
1336,Group for a Strong Revolutionary Movement
1337,Group for Martyred Isam as-Sartawi
1338,Group of Carlo Giuliani
1339,Group of Popular Fighters
1340,Group of the Fatima Church Attack
1341,Group Yuri Choukewitch
1342,Groups for Dissemination of Revolutionary Theory and Action
1343,Groups of Martyr Baha Eleyan
1344,Groups Seeking Independence
1345,Grozny Jamaat
1346,Grupo Armado de Liberacion Argentina (GALA)
1347,Grupo de Combatientes Populares
1348,Grupo Estrella
1349,Grupo Libertad
1350,Gruppe Haw Weg Den Scheiss
1351,Guadalcanal Liberation Army
1352,Guadalcanal Liberation Front (GLF)
1353,Guadeloupe Liberation Army
1354,Guadeloupe Separatists
1355,Guajajara Tribe
1356,Guardians of the Islamic Revolution
1357,Guards of the Fighting Proletariat
1358,Guardsmen of Islam
1359,Guatemalan Communist Party
1360,Guatemalan hired assasins
1361,Guatemalan Labor Party (PGT)
1362,Guatemalan National Revolutionary Unity (URNG)
1363,Guaycaipuro Indians
1364,Guerilla Party of the Galician Poor
1365,Guerrilla Army of the Poor (EGP)
1366,Guerrilla Command Force 97
1367,Guerrilla Commando of the people
1368,Guerrilla Forces for Liberation
1369,Guerrilla Movement of the Poor (MGP)
1370,Guerrillas
1371,Guerrillas of Christ the King
1372,Gugama Youth Federation
1373,Gulf Cartel
1374,Gun runners
1375,Gunib Group
1376,Gunmen
1377,Gunmen loyal to Mohammad Farah Aideed
1378,Gurkha National Liberation Front (GNLF)
1379,Gutierrez Gomez Resistance Group
1380,H-World/Heavenly Group
1381,Habi's Er'roub seriat
1382,Habr Gedir Clan
1383,Hadramawt Province of the Islamic State
1384,Hadramawt Tribes Alliance
1385,Hafeez Brohi Group
1386,Hafiz Gul Bahadur Group
1387,Haftar Militia
1388,Haika
1389,Haji Fateh
1390,Halqa-e-Mehsud
1391,Hamas (Islamic Resistance Movement)
1392,Hamawand Tribe
1393,Hamza Combat Group against Atheism and Heresy
1394,Hanafi Muslims
1395,Hanchongryun
1396,Haqqani Network
1397,Harakat al-Nujaba
1398,Harakat Ansar Iran (HAI)
1399,Harakat ul-Mujahidin (HuM)
1400,Harakat ul-Mujahidin Al-Almi
1401,Harakat-i-Inqilahi-i-Islami
1402,Harkat ul Ansar
1403,Harkatul Jihad-e-Islami
1404,Hasam Movement
1405,Hasmoneans (Jewish Settler Group)
1406,Hassan Mabkhut Group
1407,Hatikvah Leumi or National Hope
1408,Hauso Ethnic Group
1409,Hawaiian extremists
1410,Hay Andalus Defense Operations Room
1411,Hay'at Tahrir al-Sham
1412,Hector Rio De Brigade
1413,Hekla Reception Committee-Initiative for More Social Eruptions
1414,Hells Angels
1415,Heroes of Canto Grande
1416,Hezb-e Wahdat-e Islami-yi Afghanistan
1417,Hezbollah
1418,Hezbollah Palestine
1419,High Council for the Unity of Azawad (HCUA)
1420,High Council of the Islamic Emirate
1421,Hijaz Province of the Islamic State
1422,Hill Students Council
1423,Hill Tiger Force (HTF)
1424,Himali Tigers
1425,Hindu extremists
1426,Hindu Illaignar Sena
1427,Hindu Morcha Nepal
1428,Hiroyuki Jo
1429,Hizb al-Tahrir al-Islami (HT)
1430,Hizb-I-Islami
1431,Hizb-ul-Ahrar (HuA)
1432,Hizballah-Iraq
1433,Hizbul al Islam (Somalia)
1434,Hizbul Mujahideen (HM)
1435,Hmar People's Convention-Democracy (HPC-D)
1436,Hofstad Network
1437,Holders of the Black Banners
1438,Holy Spirit Movement
1439,Homeland and Freedom Group
1440,Honour of the Police
1441,Hoodie Wearers
1442,Hotaru (Firefly)
1443,Houthi extremists (Ansar Allah)
1444,Hubay Qah Group
1445,Human Rights Defence Committee
1446,Human Rights Renewal Movement (Renovacion por los Derechos Humanos)
1447,Hungarian exile
1448,Hungarian Skin Head Group
1449,Huria Kristen Batak Protestan (HKBP)
1450,Hurras al-Din
1451,Hushaysh Tribal Members
1452,Hutu extremists
1453,Hutus Former Soldiers
1454,Hynniewtrep National Liberation Council (HNLC)
1455,Iberian Anarchist Federation
1456,Iberian Liberation Movement (MIL)
1457,Iconoclastic Nihilists
1458,Iconoclastic Sect
1459,Iconoclasts
1460,Idealist Association
1461,Idriss Miskine Group
1462,Igbo tribal group
1463,Ijaw extremists
1464,Ikhwan Jammu and Kashmir
1465,Ikhwan-ul-Muslimeen
1466,Illuminating Paths of Solidarity
1467,Imam Hussein Brigade
1468,Imam Shamil Battalion
1469,Imbonerakure militia
1470,Imperial Iranian Patriotic Organization
1471,Incel extremists
1472,Incendiary Committee of Solidarity for Detainees
1473,Incite the Believers
1474,Independence Advocates
1475,Independent Albanian Movement
1476,Independent Armed Revolutionary Commandos (CRIA)
1477,Independent Nasserite Movement
1478,Independent Peasants Union
1479,Indian Mujahideen
1480,Indian Tigers
1481,Indians
1482,Indigenous People of Biafra (IPOB)
1483,Indigenous People's Federal Army (IPFA)
1484,Indigenous People's Front of Tripura (IPFT)
1485,Indipendenza
1486,Individuals claimed to be policemen
1487,Individuals Tending Toward Savagery
1488,Informal Anarchist Federation
1489,Informal Feminist Commando for Anti-authoritarian Action
1490,Ingush Rebels
1491,Initiative de Resistance Internationaliste
1492,Inkatha Freedom Party (IFP)
1493,Inkotanyi
1494,Institutional Revolutionary Party (PRI)
1495,Insurgency Commune
1496,Insurgents
1497,Insurrectionals from the Frontier
1498,Internal Front
1499,International Anti-Communist Intelligence Service
1500,International Committee Against Nazism
1501,International Communist Brigade
1502,International Communist Group
1503,International Justice Group (Gama'a al-Adela al-Alamiya)
1504,International Mercenary Brigade
1505,International Movement of the Prolitariat
1506,International Proletarian Groups
1507,International Revolutionary Action Group (GARI)
1508,International Revolutionary Front
1509,International Revolutionary Solidarity
1510,International Solidarity
1511,Internationalist Cells
1512,Intifada Martyrs
1513,Into the Blue Commando of the Revolutionary Cells
1514,Iparretarrak (IK)
1515,Iran-backed militia
1516,Iranian dissident group
1517,Iranian exiles
1518,Iranian extremists
1519,Iranian Militants
1520,Iranian Monarchists
1521,Iranian Revolution Organization
1522,Iranians
1523,Iraq's Jihadist Leagues
1524,Iraqi Communists
1525,Iraqi Democratic Front
1526,Iraqi extremists
1527,Iraqi Islamic Vanguards for National Salvation (IIVNS)
1528,Iraqi Liberation Army
1529,Iraqi Moslems
1530,Iraqi Mujahideen
1531,Iraqi National Congress (INC)
1532,Iraqi Revolutionary Forces
1533,Iraqi Strugglers' Movement
1534,Iraqi Sunni Extremists
1535,Irian Jaya Rebels
1536,Irianese Tribesmen
1537,Irigwe Militia
1538,Irish National Liberation Army (INLA)
1539,Irish People's Liberation Organization (IPLO)
1540,Irish Republican Army (IRA)
1541,Irish Republican Extremists
1542,Irrintzi
1543,Isatabu Freedom Movement (IFM)
1544,Islam Liberation Front
1545,Islambouli Brigades of al-Qaida
1546,Islami Jamiat-e-Talaba (IJT)
1547,Islamic Action Organization
1548,Islamic Arab Front of Azawad (FIAA)
1549,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)
1550,Islamic Brotherhood
1551,Islamic Cause Organization
1552,Islamic Companies
1553,Islamic Courts Union (ICU)
1554,Islamic Defenders' Front (FPI)
1555,Islamic Fateh
1556,Islamic Front
1557,Islamic Front (Syria)
1558,Islamic Front for the Liberation of Bahrain
1559,Islamic Front for the Liberation of Palestine (IFLP)
1560,Islamic Golden Army
1561,Islamic Holy Star
1562,Islamic Jihad Beit-al Maqdis Group
1563,Islamic Jihad Brigades
1564,Islamic Jihad Group (IJG)
1565,Islamic Jihad Organization (Yemen)
1566,Islamic Jihad Union (Uzbekistan)
1567,Islamic Legion
1568,Islamic Liberation Organization
1569,Islamic Movement (Nigeria)
1570,Islamic Movement for Change
1571,Islamic Movement for the Liberation of Raja
1572,Islamic Movement of Iraqi Mujahidin
1573,Islamic Movement of Kashmir
1574,Islamic Movement of Martyrs
1575,Islamic Movement of Uzbekistan (IMU)
1576,Islamic Movement Organization
1577,Islamic Mujahidin
1578,Islamic Party (Somalia)
1579,Islamic Party of Kenya (IPK)
1580,Islamic Renewal Movement
1581,Islamic Revenge Organization
1582,Islamic Revival Movement
1583,Islamic Revolutionary Command
1584,Islamic Salvation Front (FIS)
1585,Islamic Salvation Front (Palestine)
1586,Islamic Shashantantra Andolon (ISA)
1587,Islamic State in Bangladesh
1588,Islamic State in Egypt
1589,Islamic State in the Greater Sahara (ISGS)
1590,Islamic State of Iraq (ISI)
1591,Islamic State of Iraq and the Levant (ISIL)
1592,Islamic Struggle Front
1593,Islamic Swords of Justice in the Land of Ribat
1594,Islamic Tendency
1595,Islamic Unification Movement
1596,Islamic Youth Shura Council
1597,Islamist extremists
1598,Islamist Sufi Group
1599,Israel Militant
1600,Israeli extremists
1601,Israeli settlers
1602,Israeli Terrorist Group
1603,Issa and Gurgura Liberation Front
1604,Issui Kai
1605,Italian Combatents for Alto Adige
1606,Italian Extreme Nationalist Organization
1607,Italian Social Movement (MSI)
1608,Italians Attacking Policies of the Regional  SVP
1609,Itsekiri
1610,Ittehad-i-Islami
1611,Ivorian Popular Front
1612,Izberbash Gang
1613,Jabal al-Islam Brigade
1614,Jabha East Africa
1615,Jacinto Araujo Internationalist Rebel Insurrectionist Brigade
1616,Jacques de Molay Group
1617,Jadid Al-Qaida Bangladesh (JAQB)
1618,Jagrata Towhidi Janata (Rising Faithfuls)
1619,Jai Shri Ram Hindu Bhai Group
1620,Jaime Bateman Cayon Group (JBC)
1621,Jaish al-Adl
1622,Jaish al-Fatah (Syria)
1623,Jaish al-Islam (Libya)
1624,Jaish al-Muhajireen wal-Ansar (Muhajireen Army)
1625,Jaish al-Mujahideen (Syria)
1626,Jaish al-Mukhtar
1627,Jaish al-Muslimin (Army of the Muslims)
1628,Jaish al-Sunnah
1629,Jaish al-Ta'ifa al-Mansura
1630,Jaish al-Umar (JaU)
1631,Jaish Al-Umma (Army of the Nation)
1632,Jaish as-Saiyouf (Army of Swords)
1633,Jaish Tahkim al-Din
1634,Jaish Usama
1635,Jaish-e-Islam
1636,Jaish-e-Khorasan (JeK)
1637,Jaish-e-Mohammad (Iraq)
1638,Jaish-e-Mohammad (JeM)
1639,Jalisco New Generation Cartel (CJNG)
1640,Jaljala Army
1641,Jama'atul Mujahideen Bangladesh (JMB)
1642,Jamaah Ansharut Daulah
1643,Jamaah Ansharut Tauhid (JAT)
1644,Jamaat Nusrat al-Islam wal Muslimin (JNIM)
1645,Jamaat Tauhid Wal Jihad (Pakistan)
1646,Jamaat-al-Fuqra
1647,Jamaat-E-Islami (Bangladesh)
1648,Jamaat-E-Islami (India/Pakistan)
1649,Jamaat-ul-Ahrar
1650,Jamaica Labor Party
1651,Jamiat ul-Mujahedin (JuM)
1652,Jamiat-e Islami-yi Afghanistan
1653,Jammu and Kashmir Islamic Front
1654,Jammu and Kashmir Liberation Front
1655,Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP)
1656,Janatantrik Terai Madhesh Mukti Morcha (JTMMM)
1657,Janatantrik Terai Mukti Morcha (JTMM)
1658,Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)
1659,Janatantrik Terai Mukti Morcha- Goit (JTMM-G)
1660,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)
1661,Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)
1662,Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)
1663,Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)
1664,Janatantrik Tiger Janashakti Party
1665,Janjaweed
1666,Jan-22
1667,Japan National Youth Alliance
1668,Japan Socialist Youth League of the Revolutionary Workers' Association
1669,Japanese Independence Patriotic Party
1670,Japanese Red Army (JRA)
1671,Jarnail Khalsa
1672,Jarrai
1673,Jatav Caste
1674,Javier Heraud Revolutionary Commando
1675,Jaysh al-Islam (Syria)
1676,Jeay Sindh Muttahida Mahaz (JSMM)
1677,Jemaah Islamiya (JI)
1678,Jenin Martyrs Brigades
1679,Jerusalem Groups Hebrew (Qvutzot Yerushalayim)
1680,Jewish Armed Resistance
1681,Jewish Combat Organization
1682,Jewish Committee of Concern
1683,Jewish Defenders
1684,Jewish Defense League (JDL)
1685,Jewish Defense Organization
1686,Jewish Direct Action
1687,Jewish Extremists
1688,Jewish Fighting Organization (Eyal)
1689,Jewish Terror
1690,Jharkhand Bachao Aandolan
1691,Jharkhand Janmukti Parishad (JJP)
1692,Jharkhand Kranti Raksha Dal (Utari Chotanagpur)
1693,Jharkhand Liberation Tigers (JLT)
1694,Jharkhand Prastuti Committee (JPC)
1695,Jharkhand Sangharsh Jan Mukti Morcha
1696,Jharkhand Tribal Forces
1697,Jihad Brigades
1698,Jihad Islamic League Front
1699,Jihadi Movement of the Sunna People of Iran
1700,Jihadi-inspired extremists
1701,Jihadist Soldiers
1702,Joint Meeting Parties (JMP)
1703,Joint Palestinian leftist organization
1704,Jonathan Jackson Brigade
1705,Jordanian extremists
1706,Jordanian Islamic Resistance
1707,Jordanian Masses Organization
1708,Jordanian National Liberation Movement
1709,Jordanian Revolutionary and Military Committee (MOUAB)
1710,Jorge Eliecer Gaitan Nationalist Movement
1711,Jorge Martinez Association of Combatants
1712,Jose Benito Escobar Workers Federation
1713,Juan Antonio Lavalleja Command
1714,Juan Rayo Guerilla Group
1715,Juarez Cartel (Carrillo-Fuentes / Mexico)
1716,Jukun militia
1717,July 14 Movement
1718,Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations)
1719,Junaid Jihadist Battalion
1720,Jund al-Aqsa
1721,Jund al-Islam
1722,Jund al-Khilafa
1723,Jund al-Khilafah (Tunisia)
1724,Jund al-Sahabah Group
1725,Jund al-Sham for Tawhid and Jihad
1726,Jund Al-Tawid
1727,Jund Ansar Allah
1728,Jundallah (Iran)
1729,Jundallah (Pakistan)
