id_attacker_group,attacker_group
207,Alexander Villalon (YADO)
208,Alexandros Grigoropoulos Anarchist Attack Group
209,Alfa 83
210,Alfaro Vive
211,Algeisk Wolves
212,Algeria Province of the Islamic State
213,Algerian Islamic Extremists
214,Algerian Moslem Fundamentalists
215,Algerian Mujahideen for Muslims
216,All (Baksa District) B.F.D.N Sangodan
217,All Assam Revolutionary Army (AARA)
218,All Burma Students' Democratic Front (ABSDF)
219,All Ethiopian Unity Party (AEUP)
220,All for the Fatherland Movement
221,All India Anna Dravida Munetra Kazgan Party
222,All India Sikh Students Federation (AISSF)
223,All Kamatapur Liberation Force
224,All Karanataka Youth Council
225,All Nepal Free Nationalist Students Union
226,All Nepal National Free Student Union-Revolutionary
227,All Tripura Tiger Force (ATTF)
228,All-Party Students Union
229,Allah's Tigers
230,Allende Lives Commando
231,Alliance of Patriots for a Free and Sovereign Congo (APCLS)
232,Alliance of Revolutionary Cuban Organizations
233,Allied Democratic Forces (ADF)
234,Allied Democratic Forces of Guinea (RDFG)
235,Alpha-66 (Cuban counterrevolutionary)
236,Amal
237,Amazigh Islamic Front
238,Amazonas Liberation Front
239,Ambazonia Defense Forces (ADF)
240,Ambazonia Restoration Forces (ARF)
241,Ambazonia Tigers
242,America Battalion
243,American Anticommunist Association (AAA)
244,American Indian Movement
245,American Servicemen's Union (ASU)
246,Americans for a Competent Federal Judicial System
247,Americans for Justice
248,Amhara tribal group
249,Amr Bil Maroof Wa Nahi Anil Munkir
250,Ana Maria Martinly August 22 Brigade
251,Ananda Marga
252,Anarchio Scene
253,Anarchist Action (CA / United States)
254,Anarchist Anti-Capitalist Action Group
255,Anarchist Attack Consortium
256,Anarchist Cell Acca (C.A.A.)
257,Anarchist Collective of Kallithea-Moschato
258,Anarchist Commando Nestor Makhno Group
259,Anarchist Faction
260,Anarchist Liberation Brigade
261,Anarchist Revolt Against Exiled Gendarmes
262,Anarchist Solidarity
263,Anarchist Squad
264,Anarchist Struggle
265,Anarchists
266,Anarchists Attack Team
267,Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)
268,Anas al-Dabbashi Brigade
269,Anbar Salvation Council
270,Andres Castro United Front
271,Angels
272,Anger of Fezzan movement
273,Angola Rebels
274,Angolan Defense Force
275,Angry Brigade
276,Angry Brigade (Italy)
277,Angry Foxes Cell
278,Aniban ng Ayaw sa Komunista (ANAK) 
279,Animal Defense League
